"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 16 14:59:19 EEST 2019","Tue Jul 16 14:59:21 EEST 2019","1232","FunctionalTests","all-ui-tests","com.devchalange.online.test.NameTextFieldVerificationTest","com.devchalange.online.test.NameTextFieldVerificationTest","verifyNewHotelPageOpens","verifyNewHotelPageOpens",""
"passed","Tue Jul 16 14:59:16 EEST 2019","Tue Jul 16 14:59:19 EEST 2019","3541","FunctionalTests","all-ui-tests","com.devchalange.online.test.OpenNewHotelPageTest","com.devchalange.online.test.OpenNewHotelPageTest","verifyNewHotelPageOpens","verifyNewHotelPageOpens",""
